exp_id	study	implementation	n_learners	codebook_size	sve_bits	gem5_timestamp	stats_file	output_file	stats_blocks	rows_written
E01	Dense baseline	Dense naive/default	1	NA	128	run_20260503_224116	/home/thu/gem5/output/run_20260503_224116/stats_20260503_224116.txt	/home/thu/TiC-SAT/transformer_profiling/final/e01_dense_baseline_n1_cbNA_sve128_run_20260503_224116.tsv	6	7
E02	Dense baseline	Dense naive/default	2	NA	128	run_20260512_020723	/home/thu/gem5/output/run_20260512_020723/stats_20260512_020723.txt	/home/thu/TiC-SAT/transformer_profiling/final/e02_dense_baseline_n2_cbNA_sve128_run_20260512_020723.tsv	12	7
E03	Dense baseline	Dense naive/default	4	NA	128	run_20260512_020725	/home/thu/gem5/output/run_20260512_020725/stats_20260512_020725.txt	/home/thu/TiC-SAT/transformer_profiling/final/e03_dense_baseline_n4_cbNA_sve128_run_20260512_020725.tsv	24	7
E04	Dense baseline	Dense naive/default	1	NA	128	run_20260516_021425	/home/thu/gem5/output/run_20260516_021425/stats_20260516_021425.txt	/home/thu/TiC-SAT/transformer_profiling/final/e04_dense_baseline_n1_cbNA_sve128_run_20260516_021425.tsv	6	7
E05	Dense baseline	Dense naive/default	2	NA	128	run_20260516_021427	/home/thu/gem5/output/run_20260516_021427/stats_20260516_021427.txt	/home/thu/TiC-SAT/transformer_profiling/final/e05_dense_baseline_n2_cbNA_sve128_run_20260516_021427.tsv	10	7
E06	Dense baseline	Dense naive/default	4	NA	128	run_20260516_021428	/home/thu/gem5/output/run_20260516_021428/stats_20260516_021428.txt	/home/thu/TiC-SAT/transformer_profiling/final/e06_dense_baseline_n4_cbNA_sve128_run_20260516_021428.tsv	10	7
E07	Learner scaling	Codebook SIMD int8	1	8	128	run_20260503_224320	/home/thu/gem5/output/run_20260503_224320/stats_20260503_224320.txt	/home/thu/TiC-SAT/transformer_profiling/final/e07_learner_scaling_n1_cb8_sve128_run_20260503_224320.tsv	6	7
E08	Learner scaling	Codebook SIMD int8	2	8	128	run_20260503_224556	/home/thu/gem5/output/run_20260503_224556/stats_20260503_224556.txt	/home/thu/TiC-SAT/transformer_profiling/final/e08_learner_scaling_n2_cb8_sve128_run_20260503_224556.tsv	6	7
E09	Learner scaling	Codebook SIMD int8	4	8	128	run_20260503_225008	/home/thu/gem5/output/run_20260503_225008/stats_20260503_225008.txt	/home/thu/TiC-SAT/transformer_profiling/final/e09_learner_scaling_n4_cb8_sve128_run_20260503_225008.tsv	6	7
E10	Learner scaling	Codebook SIMD int8	1	8	256	run_20260503_225848	/home/thu/gem5/output/run_20260503_225848/stats_20260503_225848.txt	/home/thu/TiC-SAT/transformer_profiling/final/e10_learner_scaling_n1_cb8_sve256_run_20260503_225848.tsv	6	7
E11	Learner scaling	Codebook SIMD int8	2	8	256	run_20260503_230047	/home/thu/gem5/output/run_20260503_230047/stats_20260503_230047.txt	/home/thu/TiC-SAT/transformer_profiling/final/e11_learner_scaling_n2_cb8_sve256_run_20260503_230047.tsv	6	7
E12	Learner scaling	Codebook SIMD int8	4	8	256	run_20260503_230335	/home/thu/gem5/output/run_20260503_230335/stats_20260503_230335.txt	/home/thu/TiC-SAT/transformer_profiling/final/e12_learner_scaling_n4_cb8_sve256_run_20260503_230335.tsv	6	7
E13	Learner scaling	Codebook SIMD int8	1	8	512	run_20260503_230501	/home/thu/gem5/output/run_20260503_230501/stats_20260503_230501.txt	/home/thu/TiC-SAT/transformer_profiling/final/e13_learner_scaling_n1_cb8_sve512_run_20260503_230501.tsv	6	7
E14	Learner scaling	Codebook SIMD int8	2	8	512	run_20260503_230527	/home/thu/gem5/output/run_20260503_230527/stats_20260503_230527.txt	/home/thu/TiC-SAT/transformer_profiling/final/e14_learner_scaling_n2_cb8_sve512_run_20260503_230527.tsv	6	7
E15	Learner scaling	Codebook SIMD int8	4	8	512	run_20260503_230536	/home/thu/gem5/output/run_20260503_230536/stats_20260503_230536.txt	/home/thu/TiC-SAT/transformer_profiling/final/e15_learner_scaling_n4_cb8_sve512_run_20260503_230536.tsv	6	7
